"idActividad","idUsuarioCliente","idExperiencia","fecha","valor","pasajeros","direccion","comuna","nroContacto","evaluacion","idEstado","comentarioActividad","nombreEstado","nombreUsuario","nombreExperiencia",
"245","93","6","2015-03-26 21:00:00","112000","14","jdjasoij 646","11","87643676","","1","","Reservada","Pedro","Lechón",
"235","202","1","2015-02-17 14:00:00","7500","2","isla mocha 033","10","12345678","","1","","Reservada","Manuel","Experiencia de test 1",
"228","16","1","2015-02-06 16:00:00","7500","2","aaa 123","10","12312312","","1","","Reservada","Cristian","Experiencia de test 1",
"232","92","20","2015-02-05 11:00:00","2098","3","vxcg 423","12","55565556","","1","","Reservada","Admin","Mi Buenos Aires querido",
"230","15","1","2015-01-30 22:00:00","7500","2","agua santa 213123","10","12312312","","1","","Reservada","Gonzalo","Experiencia de test 1",
"231","16","1","2015-01-30 16:00:00","7500","2","aa a","11","12341234","","1","","Reservada","Cristian","Experiencia de test 1",
"229","202","1","2015-01-29 20:00:00","7500","2","agua santa 213123","10","12312312","","1","","Reservada","Manuel","Experiencia de test 1",
"227","92","20","2015-01-29 11:00:00","2098","3","gsdgd 5345","13","34563456","","1","","Reservada","Admin","Mi Buenos Aires querido",
"224","92","20","2015-01-25 12:00:00","2098","3","Flor 22","12","34344545","","1","","Reservada","Admin","Mi Buenos Aires querido",
"225","193","20","2015-01-25 12:00:00","2098","3","calle 1","10","61687576","","1","","Reservada","Guille","Mi Buenos Aires querido",
"226","92","20","2015-01-22 12:00:00","2098","3","rfda 4324","10","23452345","","1","","Reservada","Admin","Mi Buenos Aires querido",
"222","202","1","2014-12-17 21:00:00","7500","2","agua santa 213123","11","12312312","","1","","Reservada","Manuel","Experiencia de test 1",
"195","97","1","2014-11-28 19:00:00","7500","2","huerfanos  770","10","22631799","","1","","Reservada","Manuel","Experiencia de test 1",
"196","97","1","2014-11-28 16:00:00","7500","2","huerfanos 770","34","26317999","","1","","Reservada","Manuel","Experiencia de test 1",
"184","212","19","2014-11-20 22:00:00","91750","2","fs 43","34","42345252","","1","","Reservada","Pedro","Del Pacífico a tu Paladar",
"175","217","20","2014-11-07 00:00:00","131040","8","avenida siempre viva 2020","55","77767776","","1","","Reservada","Perrito","Mi Buenos Aires querido",
"174","217","20","2014-11-04 21:00:00","144480","9","avenida siempre viva 2020","55","77767776","","1","","Reservada","Perrito","Mi Buenos Aires querido",
"172","92","5","2014-11-03 19:00:00","147875","8","calle a 22","55","12345678","","1","","Reservada","Admin","Una noche en Texas",
"171","16","1","2014-10-31 16:00:00","7500","2","123 12","12","12341234","","1","","Reservada","Cristian","Experiencia de test 1",
"173","92","1","2014-10-31 14:00:00","33750","9","qq 1","11","12345678","","1","","Reservada","Admin","Experiencia de test 1",
"161","16","1","2014-10-30 15:00:00","15000","2","sqwdq 123","12","12345678","","1","","Reservada","Cristian","Experiencia de test 1",
"168","202","1","2014-10-29 10:00:00","7500","2","asdfasdf 213123","11","12312312","","1","","Reservada","Manuel","Experiencia de test 1",
"159","212","9","2014-10-24 23:00:00","100000","5","rfef 4324","10","53452662","","1","","Reservada","Pedro","vaca al pollo",
"160","16","1","2014-10-23 18:00:00","15000","2","sqwdq 11","13","12345668","","1","","Reservada","Cristian","Experiencia de test 1",
